rec,seq,catch_ms,drive_ms,recovery_ms,peak,peak_pos_pct,impulse,rise_rate,third1,third2,third3,curve_valid
0,1,42787,789,1318,56.3396,39,28.29180,200.7707,8.90660,13.64502,5.74018,1
1,2,44894,770,1349,56.3021,38,27.55877,217.2708,8.96189,13.15681,5.44007,1
2,3,47013,792,1317,54.4861,39,27.55631,196.8712,8.80138,13.20654,5.54839,1
3,4,49122,770,1344,56.3039,40,27.59341,204.9536,8.65813,13.33019,5.60510,1
4,5,51236,795,1314,55.5883,39,28.12804,198.0954,8.89940,13.54369,5.68495,1
5,6,53345,773,1340,57.1815,39,28.06468,211.3174,8.89368,13.53342,5.63758,1
6,7,55458,779,1337,56.1470,39,27.79852,210.3534,8.94024,13.32400,5.53429,1
7,8,57574,787,1323,56.1004,38,28.08011,209.2806,9.06932,13.43910,5.57169,1
8,9,59684,788,1327,56.5171,38,28.26755,212.0075,9.15435,13.52420,5.58900,1
9,10,61799,794,1320,55.0445,39,27.84705,199.2170,8.89849,13.35843,5.59013,1
10,11,63913,795,1314,55.4773,40,28.08590,196.7175,8.85933,13.53684,5.68973,1
11,12,66022,784,1329,55.7240,38,27.76557,208.2447,8.95320,13.29682,5.51555,1
12,13,68135,784,1330,57.3330,39,28.48364,214.8190,9.17466,13.67127,5.63770,1
13,14,70249,766,1343,57.4883,39,27.94879,212.0849,8.79025,13.51116,5.64739,1
14,15,72358,783,1334,57.6288,39,28.63166,217.3257,9.25869,13.72052,5.65244,1
15,16,74475,767,1344,57.9567,41,28.21779,209.2729,8.76459,13.68947,5.76374,1
16,17,76586,771,1346,57.7496,39,28.30011,211.7308,8.91262,13.66893,5.71855,1
17,18,78703,794,1314,55.7630,40,28.23891,194.9164,8.83869,13.62850,5.77172,1
18,19,80811,766,1351,57.8961,40,28.16249,217.9498,8.97333,13.55704,5.63213,1
19,20,82928,780,1332,55.9896,40,27.81712,202.8605,8.79040,13.39360,5.63312,1
20,21,85040,772,1339,55.3813,40,27.29547,198.1646,8.51473,13.18332,5.59742,1
21,22,87151,772,1339,57.7004,41,28.27769,210.2840,8.87196,13.67820,5.72752,1
22,23,89262,770,1343,57.7763,39,28.27427,212.1091,8.90419,13.65967,5.71040,1
23,24,91375,783,1332,57.6968,40,28.72582,205.7622,8.98882,13.89812,5.83888,1
24,25,93490,776,1335,55.9642,39,27.66006,209.2668,8.87912,13.25006,5.53089,1
25,26,95601,800,1318,56.8689,39,28.91603,208.8613,9.33827,13.84205,5.73571,1
26,27,97719,781,1329,55.3162,40,27.56218,196.6466,8.62397,13.30050,5.63771,1
27,28,99829,780,1327,56.1366,40,27.88823,199.7910,8.70975,13.48327,5.69521,1
28,29,101936,788,1328,56.1778,38,28.15582,209.6675,9.10373,13.46819,5.58389,1
29,30,104052,775,1335,56.3980,40,27.80291,204.9151,8.74695,13.41830,5.63765,1
30,31,106162,764,1345,56.1775,40,27.31326,212.7281,8.73633,13.11259,5.46434,1
31,32,108271,771,1347,58.3721,38,28.51315,222.7906,9.18584,13.69275,5.63457,1
32,33,110389,777,1343,56.2497,40,27.82473,205.3038,8.80159,13.40097,5.62217,1
33,34,112509,790,1316,55.5621,41,28.00503,193.8765,8.72904,13.53625,5.73973,1
34,35,114615,788,1324,58.5157,41,29.24231,205.4436,9.07409,14.20196,5.96626,1
35,36,116727,767,1343,56.7389,38,27.67574,216.2413,8.90662,13.26360,5.50551,1
