rec,seq,catch_ms,drive_ms,recovery_ms,peak,peak_pos_pct,impulse,rise_rate,third1,third2,third3,curve_valid
0,1,44172,785,1330,59.2456,36,29.55816,234.6785,9.87602,13.96906,5.71308,1
1,2,46287,785,1330,58.5895,37,29.25302,231.1769,9.75729,13.82678,5.66895,1
2,3,48402,781,1334,57.7125,37,28.71418,224.7155,9.48913,13.60918,5.61587,1
3,4,50517,790,1317,57.7403,38,29.07025,217.4064,9.48291,13.84714,5.74021,1
4,5,52624,773,1340,58.5644,36,28.75790,236.2829,9.61889,13.59156,5.54745,1
5,6,54737,801,1311,59.2979,36,30.14640,226.3193,9.96376,14.32261,5.86003,1
6,7,56849,801,1309,58.9172,36,29.94720,232.0088,10.07870,14.12482,5.74368,1
7,8,58959,786,1330,59.0963,36,29.44951,238.3988,9.93355,13.88058,5.63537,1
8,9,61075,786,1328,59.6898,37,29.75399,230.9445,9.79591,14.16165,5.79644,1
9,10,63189,784,1330,58.1491,36,28.95529,232.0750,9.70786,13.66368,5.58375,1
10,11,65303,800,1309,59.0854,38,30.04480,217.8834,9.72850,14.37224,5.94406,1
11,12,67412,780,1327,60.0762,38,29.69263,235.1682,9.78556,14.13168,5.77539,1
12,13,69519,767,1352,59.8791,35,29.07808,250.6721,9.86269,13.68324,5.53216,1
13,14,71638,800,1315,59.0632,36,30.00801,230.6264,10.05083,14.17656,5.78061,1
14,15,73753,798,1310,59.8666,36,30.30307,227.5780,9.96368,14.42811,5.91128,1
15,16,75861,801,1315,60.3406,35,30.60944,239.3884,10.33245,14.43504,5.84194,1
16,17,77977,787,1326,59.4727,36,29.69511,235.4460,9.92040,14.04545,5.72927,1
17,18,80090,777,1333,59.6165,37,29.42192,229.5385,9.59987,14.03724,5.78481,1
18,19,82200,768,1345,60.0306,37,29.23643,241.3930,9.70633,13.86777,5.66233,1
19,20,84313,793,1320,60.0848,37,30.22038,235.6454,10.08038,14.30815,5.83184,1
20,21,86426,779,1335,60.3524,38,29.80688,234.9588,9.79090,14.19546,5.82052,1
21,22,88540,766,1348,60.4450,38,29.37130,237.2496,9.59569,14.01514,5.76046,1
22,23,90654,780,1335,60.0117,37,29.72357,229.7180,9.68555,14.18750,5.85051,1
23,24,92769,792,1318,61.0949,38,30.68186,229.3280,9.96212,14.67916,6.04058,1
24,25,94879,792,1318,59.6860,37,30.03739,233.9839,10.02499,14.20462,5.80778,1
25,26,96989,784,1328,59.0048,36,29.40230,234.6020,9.84027,13.88272,5.67930,1
26,27,99101,790,1325,59.0887,36,29.63296,236.6642,9.99626,13.95258,5.68412,1
27,28,101216,800,1306,60.6150,36,30.73409,231.9324,10.15686,14.61023,5.96700,1
28,29,103322,769,1349,60.6654,35,29.53896,252.6206,10.00429,13.90846,5.62621,1
29,30,105440,789,1324,60.1605,37,30.11971,233.3869,9.96012,14.30293,5.85666,1
30,31,107553,773,1339,59.2531,38,29.10722,231.5471,9.55858,13.84439,5.70426,1
31,32,109665,793,1316,61.0339,37,30.68149,232.8196,10.06462,14.62703,5.98983,1
32,33,111774,763,1353,59.1184,35,28.66390,247.8897,9.73024,13.46014,5.47352,1
