rec,seq,catch_ms,drive_ms,recovery_ms,peak,peak_pos_pct,impulse,rise_rate,third1,third2,third3,curve_valid
0,1,45570,798,1311,62.1439,36,31.56792,239.2919,10.49347,14.93569,6.13875,1
1,2,47679,766,1346,61.0538,37,29.78588,248.0495,9.97152,14.04335,5.77100,1
2,3,49791,791,1320,61.5044,35,30.93845,247.9219,10.49455,14.52497,5.91891,1
3,4,51902,781,1333,61.2561,35,30.36473,258.2914,10.47071,14.16048,5.73353,1
4,5,54016,801,1310,63.0057,35,31.96215,251.3957,10.82646,15.04644,6.08925,1
5,6,56127,763,1350,62.9218,35,30.45961,258.3995,10.19959,14.40155,5.85848,1
6,7,58240,793,1323,62.4326,34,31.39689,258.3007,10.79793,14.67628,5.92267,1
7,8,60356,796,1314,62.6788,37,31.64138,245.9257,10.58362,14.96179,6.09597,1
8,9,62466,789,1321,62.9327,36,31.47192,254.7717,10.65771,14.81356,6.00065,1
9,10,64576,764,1347,62.7587,35,30.41390,261.4050,10.27750,14.32437,5.81201,1
10,11,66687,776,1339,62.7980,35,30.87502,266.0748,10.61764,14.43768,5.81970,1
11,12,68802,778,1333,63.4718,36,31.28197,256.4960,10.48979,14.78723,6.00496,1
12,13,70913,778,1335,62.5803,35,30.87538,259.0007,10.50662,14.49544,5.87332,1
13,14,73026,779,1336,62.9847,35,31.06835,266.1603,10.68932,14.52634,5.85269,1
14,15,75141,769,1342,62.6760,37,30.59091,251.8900,10.16840,14.49366,5.92885,1
15,16,77252,794,1323,63.4925,34,31.89573,263.8116,10.98566,14.91277,5.99730,1
16,17,79369,795,1314,62.7130,35,31.63998,250.4940,10.69145,14.89609,6.05244,1
17,18,81478,774,1339,62.8392,35,30.84744,258.5315,10.42858,14.52353,5.89533,1
18,19,83591,781,1330,64.3264,36,31.80457,260.7669,10.69973,15.02383,6.08100,1
19,20,85702,783,1333,62.9306,35,31.23496,260.2185,10.65794,14.64644,5.93058,1
20,21,87818,774,1339,63.8022,36,31.30912,255.9522,10.42899,14.83664,6.04349,1
21,22,89931,770,1340,63.8364,37,31.17870,255.2087,10.33400,14.79944,6.04525,1
22,23,92041,772,1338,63.8682,34,31.22969,273.1561,10.75939,14.59593,5.87437,1
23,24,94151,770,1346,64.2329,35,31.32786,272.4792,10.72732,14.68419,5.91635,1
24,25,96267,781,1330,63.5245,35,31.45639,267.3496,10.82388,14.70236,5.93014,1
25,26,98378,773,1339,64.3762,35,31.52601,271.0254,10.77629,14.78699,5.96272,1
26,27,100490,779,1333,62.8333,35,31.07577,265.7943,10.71838,14.49884,5.85855,1
27,28,102602,801,1315,64.5888,34,32.72884,270.0127,11.36362,15.25471,6.11051,1
28,29,104718,772,1343,63.9147,35,31.29097,261.6229,10.52668,14.76303,6.00126,1
29,30,106833,767,1344,63.2739,37,30.82372,258.2918,10.32701,14.55659,5.94012,1
30,31,108944,767,1342,63.1422,37,30.77476,257.5002,10.30799,14.53426,5.93250,1
31,32,111053,777,1341,63.6877,34,31.33720,273.2698,10.85762,14.60670,5.87287,1
32,33,113171,800,1311,64.4876,35,32.64594,258.3248,11.06804,15.36666,6.21124,1
